instance_idx,has_recourse,age_group,subgroup
9776,0,middle,total
9311,1,middle,total
3787,1,middle,total
1158,0,middle,total
3206,0,middle,total
4101,0,middle,total
3801,1,middle,total
4244,0,middle,total
6965,1,middle,total
6882,0,middle,total
7981,0,middle,total
5167,1,middle,total
2216,0,middle,total
7631,0,middle,total
2120,0,middle,total
13048,0,middle,total
5136,0,middle,total
13795,1,middle,total
11070,0,middle,total
9946,0,middle,total
13288,1,middle,total
1561,0,middle,total
14151,0,middle,total
12694,1,middle,total
8052,0,middle,total
6647,1,middle,total
2622,0,middle,total
6864,0,middle,total
2323,0,middle,total
1293,1,middle,total
653,0,middle,total
3257,1,middle,total
10206,0,middle,total
12626,1,middle,total
1365,0,middle,total
6014,0,middle,total
12186,0,middle,total
10472,1,middle,total
3846,0,middle,total
3371,0,middle,total
2342,1,middle,total
10329,0,middle,total
5137,1,middle,total
10349,0,middle,total
5571,1,middle,total
9947,0,middle,total
1894,0,middle,total
10917,0,middle,total
3863,0,middle,total
3011,0,middle,total
2634,0,middle,total
6737,0,middle,total
7681,1,middle,total
9933,0,middle,total
12921,0,middle,total
3883,1,middle,total
9472,0,middle,total
9628,0,middle,total
11181,0,middle,total
3104,0,elderly,total
3850,0,elderly,total
7557,0,elderly,total
1915,0,elderly,total
8377,1,elderly,total
2590,0,elderly,total
3157,0,elderly,total
14040,0,elderly,total
4934,0,elderly,total
13814,0,elderly,total
13630,0,elderly,total
249,0,elderly,total
2258,1,elderly,total
1338,0,elderly,total
3523,1,elderly,total
3856,0,elderly,total
4180,1,elderly,total
6643,0,elderly,total
11650,0,elderly,total
380,0,elderly,total
10934,0,elderly,total
2671,1,elderly,total
5761,0,elderly,total
4013,0,elderly,total
10783,1,elderly,total
5474,0,elderly,total
13144,0,elderly,total
9648,0,elderly,total
10176,0,elderly,total
5815,1,elderly,total
4459,1,elderly,total
8386,1,elderly,total
3020,0,elderly,total
5331,0,elderly,total
8110,0,elderly,total
1204,0,elderly,total
6866,1,elderly,total
6838,1,elderly,total
3859,1,elderly,total
4855,1,elderly,total
2075,0,elderly,total
9307,0,elderly,total
391,1,elderly,total
2583,0,elderly,total
325,1,elderly,total
12384,0,elderly,total
5349,0,elderly,total
1023,0,elderly,total
5254,0,elderly,total
4594,0,elderly,total
10069,0,elderly,total
5744,1,elderly,total
9287,1,elderly,total
4738,0,elderly,total
1072,0,elderly,total
10200,0,elderly,total
1051,0,elderly,total
2414,0,elderly,total
6557,0,elderly,total
3719,0,elderly,total
4523,1,elderly,total
5759,1,elderly,total
4764,1,elderly,total
5351,1,elderly,total
6747,1,elderly,total
1256,0,elderly,total
1964,0,elderly,total
2488,1,elderly,total
12634,0,elderly,total
11420,0,elderly,total
3766,0,elderly,total
10011,0,elderly,total
6517,1,elderly,total
797,1,elderly,total
3655,0,elderly,total
795,0,elderly,total
3869,0,elderly,total
9304,1,elderly,total
13710,0,elderly,total
5263,0,elderly,total
843,1,elderly,total
4712,1,elderly,total
11124,0,elderly,total
5755,0,elderly,total
9432,1,elderly,total
10224,1,elderly,total
8314,0,elderly,total
932,0,elderly,total
2872,1,elderly,total
4003,0,elderly,total
5754,1,elderly,total
5091,0,elderly,total
1868,1,elderly,total
14005,0,elderly,total
3817,1,elderly,total
5962,0,elderly,total
11353,0,elderly,total
1665,0,elderly,total
5087,0,elderly,total
10590,0,elderly,total
2321,0,elderly,total
5516,1,elderly,total
13008,1,elderly,total
6807,0,elderly,total
5999,0,elderly,total
4630,0,elderly,total
9848,1,elderly,total
7920,1,elderly,total
247,0,elderly,total
2080,0,elderly,total
3759,0,elderly,total
9745,0,elderly,total
3389,0,elderly,total
12597,0,elderly,total
938,0,elderly,total
2707,0,elderly,total
3265,1,elderly,total
